OTHER,T_NAMEC,CC_NAMEC,JUDGE_NAMEC,TTAS_DEGREE,NHI_DEGREE
T110102,T11會陰部及生殖器官外傷,T1101會陰部及生殖器官鈍傷,血行動力循環不足,2,2
T110110,T11會陰部及生殖器官外傷,T1101會陰部及生殖器官鈍傷,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
T110113,T11會陰部及生殖器官外傷,T1101會陰部及生殖器官鈍傷,尿道口出血,3,3
T110111,T11會陰部及生殖器官外傷,T1101會陰部及生殖器官鈍傷,急性中樞中度疼痛(4-7),3,3
T110104,T11會陰部及生殖器官外傷,T1101會陰部及生殖器官鈍傷,急性中樞重度疼痛(8-10),2,2
T110114,T11會陰部及生殖器官外傷,T1101會陰部及生殖器官鈍傷,急性中樞輕度疼痛(＜4),4,4
T110105,T11會陰部及生殖器官外傷,T1101會陰部及生殖器官鈍傷,高危險性受傷機轉,2,2
T110115,T11會陰部及生殖器官外傷,T1101會陰部及生殖器官鈍傷,軟組織挫傷/血腫,5,5
T110103,T11會陰部及生殖器官外傷,T1101會陰部及生殖器官鈍傷,意識程度改變(GCS9-13),2,2
T110108,T11會陰部及生殖器官外傷,T1101會陰部及生殖器官鈍傷,睪丸外露,2,2
T110109,T11會陰部及生殖器官外傷,T1101會陰部及生殖器官鈍傷,輕度呼吸窘迫(92-94%),3,3
T110112,T11會陰部及生殖器官外傷,T1101會陰部及生殖器官鈍傷,凝血異常-中度或輕度的出血,3,3
T110106,T11會陰部及生殖器官外傷,T1101會陰部及生殖器官鈍傷,凝血異常-危及生命或肢體的出血,2,2
T110201,T11會陰部及生殖器官外傷,T1102會陰部及生殖器官穿刺傷,中度呼吸窘迫(＜92%),2,2
T110202,T11會陰部及生殖器官外傷,T1102會陰部及生殖器官穿刺傷,血行動力循環不足,2,2
T110204,T11會陰部及生殖器官外傷,T1102會陰部及生殖器官穿刺傷,急性中樞重度疼痛(8-10),2,2
T110203,T11會陰部及生殖器官外傷,T1102會陰部及生殖器官穿刺傷,意識程度改變(GCS9-13),2,2
T110205,T11會陰部及生殖器官外傷,T1102會陰部及生殖器官穿刺傷,會陰部及生殖器穿刺傷,2,2
T110206,T11會陰部及生殖器官外傷,T1102會陰部及生殖器官穿刺傷,會陰部及生殖器槍傷,2,2
T110208,T11會陰部及生殖器官外傷,T1102會陰部及生殖器官穿刺傷,睪丸外露,2,2
T110207,T11會陰部及生殖器官外傷,T1102會陰部及生殖器官穿刺傷,凝血異常-危及生命或肢體的出血,2,2
T110313,T11會陰部及生殖器官外傷,T1103會陰部及生殖器官撕裂傷、擦傷,加壓後已止血,3,3
T110302,T11會陰部及生殖器官外傷,T1103會陰部及生殖器官撕裂傷、擦傷,血行動力循環不足,2,2
T110310,T11會陰部及生殖器官外傷,T1103會陰部及生殖器官撕裂傷、擦傷,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
T110315,T11會陰部及生殖器官外傷,T1103會陰部及生殖器官撕裂傷、擦傷,表淺撕裂性/出血已停止,4,4
T110304,T11會陰部及生殖器官外傷,T1103會陰部及生殖器官撕裂傷、擦傷,急性中樞重度疼痛(8-10),2,2
T110314,T11會陰部及生殖器官外傷,T1103會陰部及生殖器官撕裂傷、擦傷,急性中樞輕度疼痛(＜4),4,4
T110305,T11會陰部及生殖器官外傷,T1103會陰部及生殖器官撕裂傷、擦傷,高危險性受傷機轉,2,2
T110307,T11會陰部及生殖器官外傷,T1103會陰部及生殖器官撕裂傷、擦傷,無法控制的出血,2,2
T110303,T11會陰部及生殖器官外傷,T1103會陰部及生殖器官撕裂傷、擦傷,意識程度改變(GCS9-13),2,2
T110309,T11會陰部及生殖器官外傷,T1103會陰部及生殖器官撕裂傷、擦傷,輕度呼吸窘迫(92-94%),3,3
T110312,T11會陰部及生殖器官外傷,T1103會陰部及生殖器官撕裂傷、擦傷,凝血異常-中度或輕度的出血,3,3
T110306,T11會陰部及生殖器官外傷,T1103會陰部及生殖器官撕裂傷、擦傷,凝血異常-危及生命或肢體的出血,2,2
T110316,T11會陰部及生殖器官外傷,T1103會陰部及生殖器官撕裂傷、擦傷,擦傷,5,5
T120104,T12肢體外傷,T1201上肢鈍傷,中度呼吸窘迫(＜92%),2,2
T100113,T10腰、背部外傷,T1001腰、背部鈍傷,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
T100114,T10腰、背部外傷,T1001腰、背部鈍傷,急性中樞中度疼痛(4-7),3,3
T100108,T10腰、背部外傷,T1001腰、背部鈍傷,急性中樞重度疼痛(8-10),2,2
T100117,T10腰、背部外傷,T1001腰、背部鈍傷,急性中樞輕度疼痛(＜4),4,4
T100102,T10腰、背部外傷,T1001腰、背部鈍傷,重度呼吸窘迫(＜90%),1,1
T100116,T10腰、背部外傷,T1001腰、背部鈍傷,脊椎被長時間固定,3,3
T100109,T10腰、背部外傷,T1001腰、背部鈍傷,高危險性受傷機轉,2,2
T100118,T10腰、背部外傷,T1001腰、背部鈍傷,軟組織挫傷/血腫,5,5
T100104,T10腰、背部外傷,T1001腰、背部鈍傷,無意識(GCS3-8),1,1
T100107,T10腰、背部外傷,T1001腰、背部鈍傷,意識程度改變(GCS9-13),2,2
T100111,T10腰、背部外傷,T1001腰、背部鈍傷,新出現的神經功能缺損,2,2
T100112,T10腰、背部外傷,T1001腰、背部鈍傷,輕度呼吸窘迫(92-94%),3,3
T100115,T10腰、背部外傷,T1001腰、背部鈍傷,凝血異常-中度或輕度的出血,3,3
T040106,T04眼睛外傷,T0401眼睛鈍傷,無法評估眼睛受損情形,2,2
T040104,T04眼睛外傷,T0401眼睛鈍傷,視覺喪失,2,2
T040108,T04眼睛外傷,T0401眼睛鈍傷,凝血異常-中度或輕度的出血,3,3
T040103,T04眼睛外傷,T0401眼睛鈍傷,凝血異常-危及生命或肢體的出血,2,2
T040208,T04眼睛外傷,T0402眼睛穿刺傷,急性中樞中度疼痛(4-7),3,3
T040201,T04眼睛外傷,T0402眼睛穿刺傷,急性中樞重度疼痛(8-10),2,2
T040210,T04眼睛外傷,T0402眼睛穿刺傷,急性中樞輕度疼痛(＜4),4,4
T040202,T04眼睛外傷,T0402眼睛穿刺傷,眼睛穿刺傷,2,2
T040203,T04眼睛外傷,T0402眼睛穿刺傷,眼睛槍傷,2,2
T040207,T04眼睛外傷,T0402眼睛穿刺傷,無法評估眼睛受損情形,2,2
T040206,T04眼睛外傷,T0402眼睛穿刺傷,視覺改變,2,2
T040205,T04眼睛外傷,T0402眼睛穿刺傷,視覺喪失,2,2
T040209,T04眼睛外傷,T0402眼睛穿刺傷,凝血異常-中度或輕度的出血,3,3
