category,system_code,system_name,symptom_code,symptom_name,rule_code,judge_name,ttas_degree,nhi_degree
外傷,T11,會陰部及生殖器官外傷,T1101,會陰部及生殖器官鈍傷,T110102,血行動力循環不足,2,2
外傷,T11,會陰部及生殖器官外傷,T1101,會陰部及生殖器官鈍傷,T110110,血壓或心跳有異於病人之平常數值，但血行動力穩定,3,3
外傷,T11,會陰部及生殖器官外傷,T1101,會陰部及生殖器官鈍傷,T110113,尿道口出血,3,3
外傷,T11,會陰部及生殖器官外傷,T1101,會陰部及生殖器官鈍傷,T110111,急性中樞中度疼痛(4-7),3,3
外傷,T11,會陰部及生殖器官外傷,T1101,會陰部及生殖器官鈍傷,T110104,急性中樞重度疼痛(8-10),2,2
外傷,T11,會陰部及生殖器官外傷,T1101,會陰部及生殖器官鈍傷,T110114,急性中樞輕度疼痛(＜4),4,4
外傷,T11,會陰部及生殖器官外傷,T1101,會陰部及生殖器官鈍傷,T110105,高危險性受傷機轉,2,2
外傷,T11,會陰部及生殖器官外傷,T1101,會陰部及生殖器官鈍傷,T110115,軟組織挫傷/血腫,5,5
外傷,T11,會陰部及生殖器官外傷,T1101,會陰部及生殖器官鈍傷,T110103,意識程度改變(GCS9-13),2,2
外傷,T11,會陰部及生殖器官外傷,T1101,會陰部及生殖器官鈍傷,T110108,睪丸外露,2,2
外傷,T11,會陰部及生殖器官外傷,T1101,會陰部及生殖器官鈍傷,T110109,輕度呼吸窘迫(92-94%),3,3
外傷,T11,會陰部及生殖器官外傷,T1101,會陰部及生殖器官鈍傷,T110112,凝血異常-中度或輕度的出血,3,3
外傷,T11,會陰部及生殖器官外傷,T1101,會陰部及生殖器官鈍傷,T110106,凝血異常-危及生命或肢體的出血,2,2
外傷,T11,會陰部及生殖器官外傷,T1102,會陰部及生殖器官穿刺傷,T110201,中度呼吸窘迫(＜92%),2,2
外傷,T11,會陰部及生殖器官外傷,T1102,會陰部及生殖器官穿刺傷,T110202,血行動力循環不足,2,2
外傷,T11,會陰部及生殖器官外傷,T1102,會陰部及生殖器官穿刺傷,T110204,急性中樞重度疼痛(8-10),2,2
外傷,T11,會陰部及生殖器官外傷,T1102,會陰部及生殖器官穿刺傷,T110203,意識程度改變(GCS9-13),2,2
外傷,T11,會陰部及生殖器官外傷,T1102,會陰部及生殖器官穿刺傷,T110205,會陰部及生殖器穿刺傷,2,2
